,0,1,2,3,4,5,6,7,8,9
AAPL,-3.0030834515841494,0.3303091997479921,0.09613125401295464,0.2268318320873609,0.07428696048959729,0.14779862694871748,0.02793779066891329,0.09005909132792053,-0.017697490535697163,-0.012618353910047606
ABNB,-5.359103777093599,0.4131812254452951,0.37319818009689176,-0.04694392796890276,-0.21379132201639084,-0.013378962376933132,0.08392435847527252,0.10529866526028232,-0.14354782593519827,0.05517531348404254
ADBE,10.275411272356694,2.0739194597170276,-1.4459372438922415,-0.31924088401798484,0.05252859642468333,-0.4335123604793784,0.17217623182998115,-0.12902737404976658,-0.1247872463872053,-0.21280133601023002
ADI,-2.3025649093518767,-0.46402975124009405,0.26699137232981157,0.15592110364305967,-0.09609402553236206,0.06626407974511198,0.07151810612098355,-0.05782203994181824,-0.08974223871629955,0.06961764443088181
ADP,0.3625661178756452,-1.0475410286547377,-0.5806131180164771,-0.4662066405669414,-0.19325866458970892,-0.002309466349730241,0.035728083082358766,0.08553152857012408,0.18518422125692588,0.09944820421639428
ADSK,-1.0474641963397366,-0.5518784650152879,0.026591274652566776,-0.08400631979582354,-0.08335735854711758,-0.24912750930074742,0.042704474419184596,0.02379479027822899,-0.07016165246919771,-0.024543903163586962
AEP,-6.937737498322002,-0.41458850575439055,0.1805509619150838,-0.0846542779108302,0.0035917076426426053,0.05557655003130966,-0.08679574099808265,-0.07894314200376401,-0.037809450830971175,0.012456583240966684
ALGN,3.3276924430813497,0.034725575719104285,1.6057036048581919,0.8812855020925954,-1.3760666122582166,0.28823470042840127,0.5718746022896692,-0.0033047086518068203,-0.09864862099476202,-0.31858812002998266
AMAT,-4.984132546750444,0.46387436597597675,0.06469840485153866,0.004178153748010366,-0.021172323391851183,-0.07565738585204074,-0.012167180754520612,-0.02469600949825683,0.07313440978131813,0.024898023521331015
AMD,-6.539099467166086,0.6832967330397755,0.22617761725849506,0.23594103743627104,0.11587804322133294,0.03923719188966145,-0.005212180124663068,-0.017140344304118302,0.09524552503127384,0.0230211722305241
AMGN,1.2889409577594435,-1.260569205763902,-0.626248644773997,-0.8446783445818811,0.17722740397165934,-0.027960306198388987,-0.012107943974796566,-0.06864167533947782,0.07286647019902823,-0.05735709179129962
