,0,1,2,3,4,5,6,7,8,9
AAPL,-2.8827729710538144,0.3101992724484677,0.11307120509535212,0.24638908165687504,-0.009012445540334008,0.15865930429264596,0.0035315481188834263,0.0017340163269579656,-0.04509437788040382,-0.014083142835392193
ABNB,-5.229533842310287,0.3232726437635547,0.3674954512163538,-0.020136597883194385,-0.254217372416172,-0.07330332638380592,0.04805699892791186,0.11816517506490379,-0.12002486579604218,0.047720263467286625
ADBE,10.6732394822916,2.299843177954841,-1.2481688898558807,-0.3807121942655738,0.31595520746007055,-0.43469194029181746,0.2053404016885524,0.18746461511468426,-0.12160022078229787,-0.13375430095103438
ADI,-2.243986495962349,-0.5282217941158156,0.19137161133707653,0.16030032647323303,-0.10776833740871564,0.040361766660995765,0.06915416185239825,0.07603649328978959,-0.02352142135329434,0.10506010232157127
ADP,0.28914312165949385,-0.8830769437845508,-0.5383963775054742,-0.488597667004579,-0.1532816596466213,-0.05590773369234868,0.001993735537470752,0.06329499900359527,0.178069969266545,-0.12356845785543125
ADSK,-1.003883968051679,-0.5494993443397415,-0.009091061989542126,-0.09302708362416957,-0.020232229589387835,-0.24744745160825432,0.06547642346569188,-0.04085439390646975,-0.0965252896479562,0.0054773187686224245
AEP,-6.889774015800501,-0.44540006641663377,0.13253031858928355,-0.08539818288896489,0.013899513865277713,0.05410090132466838,-0.07267604110636064,0.019579102483138933,0.0027504479093928835,0.055215703149036593
ALGN,3.3880108309464543,-0.5990712699683699,1.2586780058202351,0.9441698609437015,-1.7629428527888629,0.02285229713948129,0.4936248083983597,0.08664704812859678,-0.21427874784199105,-0.29651372174950325
AMAT,-4.844605489355476,0.4212867635673707,0.06884087475139633,0.011169882884361909,-0.03224701653201445,-0.0691694530733492,0.00045725490453636664,-0.0583677544040255,0.07334639980503946,0.0035490143056148005
AMD,-6.375089861279731,0.6314441446364678,0.24373885182909916,0.2604389091256278,0.05446074268816148,0.06790859604571449,-0.0036843673103799934,-0.1055084288956234,0.09853642017506935,0.0533299478621479
AMGN,1.2311461731883382,-1.0310470377344827,-0.5507281769780975,-0.8762988219616872,0.2606347418409951,0.022509429808173234,0.01291088539727478,-0.07397492825844532,0.06456176058865479,-0.0005531072049955073
AMZN,-5.452360261809723,0.6659355836491669,0.08477997297878037,-0.03238606028272356,0.04245135268360517,0.010303556463976252,-0.12152626707535535,-0.04162051332030403,0.03588506184451215,-0.06525513078621306
ANSS,3.5508859776016095,-0.4539317394371716,0.3919113934455488,0.6996260157328058,-0.30127086576882384,0.29231157830035515,0.3839256505735608,0.01602356300314084,0.014368053466179087,0.25308641096331014
ASML,21.134798627205132,-2.48712403234933,-0.5143034872294758,1.8205914351799897,0.030524653213763298,-0.7458460716086968,-0.16701613648726457,-0.4799955355672918,-0.039190914182828385,0.16560567716575803
AVGO,25.375394559017348,3.026569061295163,-2.0665863098602624,0.9073377326007181,0.05772697698924678,-0.191131379859924,0.31440499085096585,0.0092677192065298,0.09354550322586741,0.394872480088137
AZN,-7.76451212022485,-0.05493002353077214,0.1973555162268834,-0.0633575386898601,-0.016263330213042937,0.14076789562003744,-0.08540530170517768,-0.05836350489366915,0.05452219764409308,0.0013125593958010495
BIIB,2.5029447649850574,-1.7657609076195158,-0.1426435843768814,0.4030493651509466,-0.11405247915608624,0.30928961375111075,-0.09099382154701571,-0.33473783893255243,0.020434224577720816,-0.2051260562885321
BKNG,121.89805566278821,1.2748072204360739,1.022139502183375,-1.1277399887955823,-1.336638288135143,0.16990621452254207,-0.4342698999575536,0.01699017989622842,0.21673928032166856,0.17032837183560368
BKR,-9.611084486300602,0.31190109464650995,0.22870803265021555,-0.19210402919517483,-0.04154305866384478,0.00848003655262719,-0.07921109582572682,-0.006258116741030717,0.00964095012832561,0.017011921799333585
CDNS,-0.5048226760583707,0.6064084809941929,0.14123356912756746,0.09564484423870845,0.20793121868849795,0.09972282049937757,0.13512396043550864,-0.039657659207757184,-0.05613129563043264,0.16698531421512172
CEG,-6.553519777541013,0.4230079785151517,-0.1263070455787848,-0.3809641091900608,0.14592546980234267,-0.025949500592812647,-0.06744782717117948,-0.017272569136274007,0.027791238293224746,-0.017777065281973425
CHTR,7.695876271142889,-0.6609209336485748,-0.45792791468683935,-1.174988960352564,-0.3716398658015061,-0.5728456838503155,-0.062001443832936876,-0.31922583901778917,-0.42216822460008435,-0.15792131599700399
CMCSA,-9.177929950695592,0.2942551751097291,0.23976437167921927,-0.15649647322497384,-0.04551653796828581,0.03862600850436751,-0.10213603246197349,-0.0413570797779359,0.021409015907862428,-0.008929454763118738
COST,14.701988535534035,-0.8298719430640062,-0.7153174825027226,-0.2732789758754113,0.19950119743043282,-0.187788108699199,0.08572034893162173,-0.017040354785595624,-0.23846819624872934,0.06980204160000847
CPRT,-9.194774728706479,0.43736301206144157,0.2543481155446212,-0.07792560245953084,0.02241931236368422,0.08189104630203214,-0.08237233859494345,-0.017366824615815624,0.02414226302666994,0.01943275023972013
CRWD,-4.058948326649838,0.9610816940811637,0.04901755717710199,-0.17062103130176265,0.5313690829358156,0.08876004332196075,0.12651645368788772,0.09760899469575257,0.08130301988716421,0.11658063719439518
CSCO,-8.676326387615921,0.1895218365110396,0.20144226863537917,-0.16625474166273468,-0.046195938354342325,0.04862794974419252,-0.021906972483252768,-0.04081118119614402,0.03701631524530591,0.025136270559333762
CSGP,-7.3034735214560556,0.05745491497193056,-0.0062040779185881245,-0.042935060266271086,-0.02469215848624301,-0.009171516903378835,-0.13143328040150315,0.019567648578737717,0.020837944743469367,-0.028437814064035116
