,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-12-28,65.40693573962402,58.146981010744895,72.85345509768486,65.40693573962402,65.40693573962402,0.3954230076059577,0.3954230076059577,0.3954230076059577,0.3954230076059577,0.3954230076059577,0.3954230076059577,0.0,0.0,0.0,65.80235874722997
1,2022-12-29,65.68617825417522,58.83534707918477,73.85770828196962,65.68617825417522,65.68617825417522,0.6074350468577087,0.6074350468577087,0.6074350468577087,0.6074350468577087,0.6074350468577087,0.6074350468577087,0.0,0.0,0.0,66.29361330103292
2,2022-12-30,65.96542076872639,58.56188065709537,74.55548689337695,65.96542076872639,65.96542076872639,0.8206646072931525,0.8206646072931525,0.8206646072931525,0.8206646072931525,0.8206646072931525,0.8206646072931525,0.0,0.0,0.0,66.78608537601954
3,2023-01-03,67.08239082693113,60.45653675706896,75.60579111238663,67.08239082693113,67.08239082693113,0.9219417968493293,0.9219417968493293,0.9219417968493293,0.9219417968493293,0.9219417968493293,0.9219417968493293,0.0,0.0,0.0,68.00433262378046
4,2023-01-04,67.36163334148232,60.56561376691621,75.91336419125766,67.36163334148232,67.36163334148232,0.3954230076060914,0.3954230076060914,0.3954230076060914,0.3954230076060914,0.3954230076060914,0.3954230076060914,0.0,0.0,0.0,67.75705634908842
5,2023-01-05,67.64087585603349,60.31977717739497,76.26314867997014,67.64087585603349,67.64087585603349,0.6074350468559276,0.6074350468559276,0.6074350468559276,0.6074350468559276,0.6074350468559276,0.6074350468559276,0.0,0.0,0.0,68.24831090288941
6,2023-01-06,67.92011837058467,60.880815129697275,76.39260207220181,67.92011837058467,67.92011837058467,0.8206646072920005,0.8206646072920005,0.8206646072920005,0.8206646072920005,0.8206646072920005,0.8206646072920005,0.0,0.0,0.0,68.74078297787668
7,2023-01-09,68.75784591423823,60.97555900458066,76.3749316469371,68.75784591423823,68.75784591423823,0.228082852180592,0.228082852180592,0.228082852180592,0.228082852180592,0.228082852180592,0.228082852180592,0.0,0.0,0.0,68.98592876641882
8,2023-01-10,69.03708842878942,62.22581697214795,77.71153449314637,69.03708842878942,69.03708842878942,0.921941796847218,0.921941796847218,0.921941796847218,0.921941796847218,0.921941796847218,0.921941796847218,0.0,0.0,0.0,69.95903022563664
9,2023-01-11,69.31633094585634,62.159091797719455,77.54609408962722,69.31633094585634,69.31633094585634,0.39542300760829874,0.39542300760829874,0.39542300760829874,0.39542300760829874,0.39542300760829874,0.39542300760829874,0.0,0.0,0.0,69.71175395346464
10,2023-01-12,69.59557346292326,62.342036848195,77.62656257314131,69.59557346292326,69.59557346292326,0.6074350468554535,0.6074350468554535,0.6074350468554535,0.6074350468554535,0.6074350468554535,0.6074350468554535,0.0,0.0,0.0,70.20300850977871
11,2023-01-13,69.87481597999017,62.751018364362785,78.80919685919015,69.87481597999017,69.87481597999017,0.8206646072908484,0.8206646072908484,0.8206646072908484,0.8206646072908484,0.8206646072908484,0.8206646072908484,0.0,0.0,0.0,70.69548058728103
12,2023-01-17,70.99178604825785,64.46767557104997,80.05216395986638,70.99178604825785,70.99178604825785,0.9219417968479542,0.9219417968479542,0.9219417968479542,0.9219417968479542,0.9219417968479542,0.9219417968479542,0.0,0.0,0.0,71.91372784510581
13,2023-01-18,71.27102856532477,63.579400507564905,79.18574410315998,71.27102856532477,71.27102856532477,0.3954230076084324,0.3954230076084324,0.3954230076084324,0.3954230076084324,0.3954230076084324,0.3954230076084324,0.0,0.0,0.0,71.6664515729332
14,2023-01-19,71.55027108239169,64.03575841719807,80.44447650862666,71.55027108239169,71.55027108239169,0.6074350468566253,0.6074350468566253,0.6074350468566253,0.6074350468566253,0.6074350468566253,0.6074350468566253,0.0,0.0,0.0,72.15770612924831
15,2023-01-20,71.82951359945861,65.31264978201972,80.91362300790999,71.82951359945861,71.82951359945861,0.8206646072899322,0.8206646072899322,0.8206646072899322,0.8206646072899322,0.8206646072899322,0.8206646072899322,0.0,0.0,0.0,72.65017820674854
16,2023-01-23,72.66724115065935,64.88405234722411,80.47532026608376,72.66724115065935,72.66724115065935,0.22808285217654392,0.22808285217654392,0.22808285217654392,0.22808285217654392,0.22808285217654392,0.22808285217654392,0.0,0.0,0.0,72.89532400283589
17,2023-01-24,72.94648366786299,66.15527389513363,81.46440516840615,72.94648366786299,72.94648366786299,0.9219417968486905,0.9219417968486905,0.9219417968486905,0.9219417968486905,0.9219417968486905,0.9219417968486905,0.0,0.0,0.0,73.86842546471168
18,2023-01-25,73.22572618506665,65.93874972146588,80.8243904151987,73.22572618506665,73.22572618506665,0.3954230076073194,0.3954230076073194,0.3954230076073194,0.3954230076073194,0.3954230076073194,0.3954230076073194,0.0,0.0,0.0,73.62114919267397
19,2023-01-26,73.50496870227029,66.21934381598342,82.09229832120039,73.50496870227029,73.50496870227029,0.6074350468569741,0.6074350468569741,0.6074350468569741,0.6074350468569741,0.6074350468569741,0.6074350468569741,0.0,0.0,0.0,74.11240374912727
20,2023-01-27,73.78421121947393,66.77216520694193,82.60960696869635,73.78421121947393,73.78421121947393,0.8206646072941212,0.8206646072941212,0.8206646072941212,0.8206646072941212,0.8206646072941212,0.8206646072941212,0.0,0.0,0.0,74.60487582676805
21,2023-01-30,74.62193877108488,67.56370793562054,82.08144833252356,74.62193877108488,74.62193877108488,0.22808285217685065,0.22808285217685065,0.22808285217685065,0.22808285217685065,0.22808285217685065,0.22808285217685065,0.0,0.0,0.0,74.85002162326174
22,2023-01-31,74.90118128828854,67.75588924813327,83.48614190403778,74.90118128828854,74.90118128828854,0.921941796848003,0.921941796848003,0.921941796848003,0.921941796848003,0.921941796848003,0.921941796848003,0.0,0.0,0.0,75.82312308513654
23,2023-02-01,75.18042380549218,68.2740140476452,83.26140907205937,75.18042380549218,75.18042380549218,0.39542300760828,0.39542300760828,0.39542300760828,0.39542300760828,0.39542300760828,0.39542300760828,0.0,0.0,0.0,75.57584681310047
24,2023-02-02,75.45966632269584,68.63056135361039,84.39276900841972,75.45966632269584,75.45966632269584,0.6074350468573229,0.6074350468573229,0.6074350468573229,0.6074350468573229,0.6074350468573229,0.6074350468573229,0.0,0.0,0.0,76.06710136955316
25,2023-02-03,75.73890883322777,68.73502893802383,84.56984324632718,75.73890883322777,75.73890883322777,0.8206646072934413,0.8206646072934413,0.8206646072934413,0.8206646072934413,0.8206646072934413,0.8206646072934413,0.0,0.0,0.0,76.5595734405212
26,2023-02-06,76.5766363648236,68.80282870347739,84.92886513834837,76.5766363648236,76.5766363648236,0.22808285217847618,0.22808285217847618,0.22808285217847618,0.22808285217847618,0.22808285217847618,0.22808285217847618,0.0,0.0,0.0,76.80471921700207
27,2023-02-07,76.85587887535554,69.91793456021345,85.38125386948748,76.85587887535554,76.85587887535554,0.9219417968507405,0.9219417968507405,0.9219417968507405,0.9219417968507405,0.9219417968507405,0.9219417968507405,0.0,0.0,0.0,77.77782067220629
28,2023-02-08,77.13512138588749,70.53553861919177,85.6595853495371,77.13512138588749,77.13512138588749,0.3954230076071668,0.3954230076071668,0.3954230076071668,0.3954230076071668,0.3954230076071668,0.3954230076071668,0.0,0.0,0.0,77.53054439349465
29,2023-02-09,77.41436389641943,70.03493924656723,85.95624300962355,77.41436389641943,77.41436389641943,0.6074350468576718,0.6074350468576718,0.6074350468576718,0.6074350468576718,0.6074350468576718,0.6074350468576718,0.0,0.0,0.0,78.0217989432771
30,2023-02-10,77.69360640695136,71.6621971960922,86.4807673921391,77.69360640695136,77.69360640695136,0.8206646072922891,0.8206646072922891,0.8206646072922891,0.8206646072922891,0.8206646072922891,0.8206646072922891,0.0,0.0,0.0,78.51427101424365
31,2023-02-13,78.53133393854719,71.03365565825246,86.29593748467941,78.53133393854719,78.53133393854719,0.22808285218010171,0.22808285218010171,0.22808285218010171,0.22808285218010171,0.22808285218010171,0.22808285218010171,0.0,0.0,0.0,78.7594167907273
32,2023-02-14,78.81057644907912,71.78548842165164,87.68399681355844,78.81057644907912,78.81057644907912,0.9219417968472056,0.9219417968472056,0.9219417968472056,0.9219417968472056,0.9219417968472056,0.9219417968472056,0.0,0.0,0.0,79.73251824592633
